Acidez	Volatilidad	Citricidad	Azucar	pH	Alcohol	Cloruros	Sulfatos	Calidad
8.4	0.665	0.61	2.0	3.16	9.1	0.11199999999999999	0.54	5
12.7	0.6	0.65	2.3	3.03	9.9	0.063	0.57	5
12.0	0.37	0.76	4.2	3.22	13.0	0.066	0.6	7
6.6	0.735	0.02	7.9	3.47	9.9	0.122	0.53	5
11.5	0.59	0.59	2.6	3.18	11.0	0.087	0.65	6
11.5	0.59	0.59	2.6	3.18	11.0	0.087	0.65	6
8.7	0.765	0.22	2.3	3.1	9.4	0.064	0.55	5
6.6	0.735	0.02	7.9	3.47	9.9	0.122	0.53	5
7.7	0.26	0.3	1.7	3.29	10.8	0.059000000000000004	0.47	6
12.2	0.48	0.54	2.6	3.1	10.5	0.085	0.61	6
11.4	0.6	0.49	2.7	3.15	10.5	0.085	0.63	6
7.7	0.69	0.05	2.7	3.26	9.1	0.075	0.61	5
8.7	0.31	0.46	1.4	3.36	10.1	0.059000000000000004	0.76	6
9.8	0.44	0.47	2.5	3.24	10.8	0.063	0.65	6
12.0	0.39	0.66	3.0	3.18	10.8	0.09300000000000001	0.63	7
10.4	0.34	0.58	3.7	3.19	11.3	0.174	0.7	6
12.5	0.46	0.49	4.5	3.05	9.6	0.07	0.57	4
9.0	0.43	0.34	2.5	3.38	9.5	0.08	0.62	6
9.1	0.45	0.35	2.4	3.38	9.5	0.08	0.62	5
7.1	0.735	0.16	1.9	3.27	9.3	0.1	0.64	5
9.9	0.4	0.53	6.7	3.27	11.7	0.09699999999999999	0.82	7
8.8	0.52	0.34	2.7	3.26	9.5	0.087	0.61	5
8.6	0.725	0.24	6.6	3.32	9.3	0.11699999999999999	1.07	5
10.6	0.48	0.64	2.2	3.26	11.7	0.111	0.66	6
7.0	0.58	0.12	1.9	3.44	10.5	0.091	0.48	5
11.9	0.38	0.51	2.0	3.24	10.4	0.121	0.76	6
6.8	0.77	0.0	1.8	3.62	9.9	0.066	0.68	5
9.5	0.56	0.33	2.4	3.28	11.8	0.08900000000000001	0.73	7
6.6	0.84	0.03	2.3	3.52	12.3	0.059000000000000004	0.56	7
7.7	0.96	0.2	2.0	3.36	10.9	0.047	0.44	5
10.5	0.24	0.47	2.1	3.15	11.0	0.066	0.9	7
7.7	0.96	0.2	2.0	3.36	10.9	0.047	0.44	5
6.6	0.84	0.03	2.3	3.52	12.3	0.059000000000000004	0.56	7
6.4	0.67	0.08	2.1	3.49	11.4	0.045	0.49	6
9.5	0.78	0.22	1.9	3.26	10.6	0.077	0.56	6
9.1	0.52	0.33	1.3	3.24	9.3	0.07	0.6	5
12.8	0.84	0.63	2.4	3.1	10.4	0.08800000000000001	0.6	6
10.5	0.24	0.47	2.1	3.15	11.0	0.066	0.9	7
7.8	0.55	0.35	2.2	3.25	9.2	0.07400000000000001	0.56	5
11.9	0.37	0.69	2.3	3.0	12.8	0.078	0.65	6
12.3	0.39	0.63	2.3	3.16	9.5	0.091	0.49	5
10.4	0.41	0.55	3.2	3.15	9.9	0.076	0.89	6
12.3	0.39	0.63	2.3	3.16	9.5	0.091	0.49	5
8.0	0.67	0.3	2.0	3.26	10.2	0.06	0.56	6
11.1	0.45	0.73	3.2	3.17	11.2	0.066	0.66	6
10.4	0.41	0.55	3.2	3.15	9.9	0.076	0.89	6
7.0	0.62	0.18	1.5	3.08	9.3	0.062	0.6	5
12.6	0.31	0.72	2.2	2.88	9.8	0.07200000000000001	0.82	8
11.9	0.4	0.65	2.15	3.06	11.3	0.068	0.68	6
15.6	0.685	0.76	3.7	2.95	11.2	0.1	0.68	7
10.0	0.44	0.49	2.7	3.23	11.6	0.077	0.63	7
5.3	0.57	0.01	1.7	3.57	12.5	0.054000000000000006	0.84	7
9.5	0.735	0.1	2.1	3.23	10.1	0.079	0.56	6
12.5	0.38	0.6	2.6	3.1	10.5	0.081	0.73	5
9.3	0.48	0.29	2.1	3.22	11.2	0.127	0.72	5
8.6	0.53	0.22	2.0	3.2	10.2	0.1	0.56	6
11.9	0.39	0.69	2.8	3.1	10.8	0.095	0.61	6
11.9	0.39	0.69	2.8	3.1	10.8	0.095	0.61	6
8.4	0.37	0.53	1.8	3.06	9.1	0.413	1.06	6
6.8	0.56	0.03	1.7	3.44	10.0	0.084	0.63	6
10.4	0.33	0.63	2.8	3.26	11.2	0.084	0.74	7
7.0	0.23	0.4	1.6	3.5	11.1	0.063	0.63	5
11.3	0.62	0.67	5.2	3.22	13.4	0.086	0.69	8
8.9	0.59	0.39	2.3	3.37	10.3	0.095	0.58	5
9.2	0.63	0.21	2.7	3.28	9.6	0.09699999999999999	0.58	5
10.4	0.33	0.63	2.8	3.26	11.2	0.084	0.74	7
11.6	0.58	0.66	2.2	3.25	9.0	0.07400000000000001	0.57	3
9.2	0.43	0.52	2.3	3.35	11.3	0.083	0.61	6
8.3	0.615	0.22	2.6	3.26	9.3	0.087	0.61	5
11.0	0.26	0.68	2.55	3.18	11.8	0.085	0.61	5
8.1	0.66	0.7	2.2	3.08	9.0	0.098	0.53	5
11.5	0.315	0.54	2.1	2.98	9.2	0.084	0.7	6
10.0	0.29	0.4	2.9	3.48	9.7	0.098	0.91	5
10.3	0.5	0.42	2.0	3.16	11.5	0.069	0.72	6
8.8	0.46	0.45	2.6	3.32	14.0	0.065	0.79	6
11.4	0.36	0.69	2.1	3.17	9.2	0.09	0.62	6
8.7	0.82	0.02	1.2	3.2	9.8	0.07	0.58	5
13.0	0.32	0.65	2.6	3.05	10.6	0.09300000000000001	0.61	5
9.6	0.54	0.42	2.4	3.2	11.4	0.081	0.71	6
12.5	0.37	0.55	2.6	3.15	10.4	0.083	0.82	6
9.9	0.35	0.55	2.1	3.26	10.6	0.062	0.79	5
10.5	0.28	0.51	1.7	3.2	9.4	0.08	0.89	6
9.6	0.68	0.24	2.2	3.14	10.2	0.087	0.6	5
9.3	0.27	0.41	2.0	3.28	9.7	0.091	0.7	5
10.4	0.24	0.49	1.8	3.18	11.0	0.075	1.06	6
9.6	0.68	0.24	2.2	3.14	10.2	0.087	0.6	5
9.4	0.685	0.11	2.7	3.19	10.1	0.077	0.7	6
10.6	0.28	0.39	15.5	3.12	9.2	0.069	0.66	5
9.4	0.3	0.56	2.8	3.15	11.7	0.08	0.92	8
10.6	0.36	0.59	2.2	3.04	9.4	0.152	1.05	5
10.6	0.36	0.6	2.2	3.04	9.4	0.152	1.06	5
10.6	0.44	0.68	4.1	3.06	13.4	0.114	0.66	6
10.2	0.67	0.39	1.9	3.17	10.0	0.054000000000000006	0.47	5
10.2	0.67	0.39	1.9	3.17	10.0	0.054000000000000006	0.47	5
10.2	0.645	0.36	1.8	3.17	10.0	0.053	0.42	6
11.6	0.32	0.55	2.8	3.32	10.8	0.081	0.92	7
9.3	0.39	0.4	2.6	3.34	10.2	0.073	0.75	6
9.3	0.775	0.27	2.8	3.31	10.6	0.078	0.67	6
9.2	0.41	0.5	2.5	3.34	13.3	0.055	0.79	7
8.9	0.4	0.51	2.6	3.32	13.4	0.052000000000000005	0.9	7
8.7	0.69	0.31	3.0	3.48	11.6	0.086	0.74	6
6.5	0.39	0.23	8.3	3.44	12.1	0.051	0.55	6
10.7	0.35	0.53	2.6	3.15	11.0	0.07	0.65	8
7.8	0.52	0.25	1.9	3.43	9.0	0.081	0.65	6
7.2	0.34	0.32	2.5	3.32	11.1	0.09	0.79	5
10.7	0.35	0.53	2.6	3.15	11.0	0.07	0.65	8
8.7	0.69	0.31	3.0	3.48	11.6	0.086	0.74	6
7.8	0.52	0.25	1.9	3.43	9.0	0.081	0.65	6
10.4	0.44	0.73	6.55	3.17	12.0	0.07400000000000001	0.85	7
10.4	0.44	0.73	6.55	3.17	12.0	0.07400000000000001	0.85	7
10.5	0.26	0.47	1.9	3.18	10.9	0.078	1.04	7
10.5	0.24	0.42	1.8	3.21	10.8	0.077	1.05	7
10.2	0.49	0.63	2.9	3.16	12.5	0.07200000000000001	0.78	7
10.4	0.24	0.46	1.8	3.25	10.8	0.075	1.02	7
11.2	0.67	0.55	2.3	3.17	9.5	0.084	0.71	6
10.0	0.59	0.31	2.2	3.18	10.2	0.09	0.63	6
13.3	0.29	0.75	2.8	3.04	11.4	0.084	0.68	7
12.4	0.42	0.49	4.6	3.02	9.5	0.073	0.61	5
10.0	0.59	0.31	2.2	3.18	10.2	0.09	0.63	6
10.7	0.4	0.48	2.1	3.03	9.7	0.125	0.81	6
10.5	0.51	0.64	2.4	3.09	11.8	0.107	0.66	7
10.5	0.51	0.64	2.4	3.09	11.8	0.107	0.66	7
8.5	0.655	0.49	6.1	3.31	9.3	0.122	1.14	5
12.5	0.6	0.49	4.3	3.25	11.9	0.1	0.74	6
10.4	0.61	0.49	2.1	3.16	8.4	0.2	0.63	3
10.9	0.21	0.49	2.8	3.22	11.7	0.08800000000000001	0.68	6
7.3	0.365	0.49	2.5	3.36	11.0	0.08800000000000001	0.78	5
9.8	0.25	0.49	2.7	3.42	10.0	0.08800000000000001	0.9	6
7.6	0.41	0.49	2.0	3.48	9.1	0.08800000000000001	0.64	5
8.2	0.39	0.49	2.3	3.38	9.8	0.099	0.99	5
9.3	0.4	0.49	2.5	3.22	9.4	0.085	0.55	5
9.2	0.43	0.49	2.4	3.23	9.5	0.086	0.64	5
10.4	0.64	0.24	2.8	3.24	9.9	0.105	0.67	5
7.3	0.365	0.49	2.5	3.36	11.0	0.08800000000000001	0.78	5
7.0	0.38	0.49	2.5	3.39	11.4	0.09699999999999999	0.77	6
8.2	0.42	0.49	2.6	3.34	8.7	0.084	0.75	6
9.9	0.63	0.24	2.4	3.09	9.4	0.077	0.57	5
9.1	0.22	0.24	2.1	3.41	10.3	0.078	0.87	6
11.9	0.38	0.49	2.7	3.16	10.3	0.098	0.61	5
11.9	0.38	0.49	2.7	3.16	10.3	0.098	0.61	5
10.3	0.27	0.24	2.1	3.22	12.8	0.07200000000000001	0.66	6
10.0	0.48	0.24	2.7	3.28	10.0	0.102	0.56	6
9.1	0.22	0.24	2.1	3.41	10.3	0.078	0.87	6
9.9	0.63	0.24	2.4	3.09	9.4	0.077	0.57	5
8.1	0.825	0.24	2.1	3.37	10.7	0.084	0.77	6
12.9	0.35	0.49	5.8	3.2	12.0	0.066	0.66	7
11.2	0.5	0.74	5.15	3.22	11.2	0.1	0.62	5
9.2	0.59	0.24	3.3	3.26	9.6	0.10099999999999999	0.67	5
9.5	0.46	0.49	6.3	3.21	11.0	0.064	0.73	6
9.3	0.715	0.24	2.1	3.12	9.9	0.07	0.59	5
11.2	0.66	0.24	2.5	3.06	11.0	0.085	0.72	6
14.3	0.31	0.74	1.8	2.86	8.4	0.075	0.79	6
9.1	0.47	0.49	2.6	3.08	9.1	0.094	0.59	5
7.5	0.55	0.24	2.0	3.45	9.5	0.078	0.78	6
10.6	0.31	0.49	2.5	3.26	10.7	0.067	0.86	6
12.4	0.35	0.49	2.6	3.12	10.4	0.079	0.75	6
9.0	0.53	0.49	1.9	3.27	9.4	0.171	0.61	6
6.8	0.51	0.01	2.1	3.33	9.5	0.07400000000000001	0.56	6
9.4	0.43	0.24	2.8	3.19	10.0	0.092	0.73	6
9.5	0.46	0.24	2.7	3.12	10.0	0.092	0.74	6
5.0	1.04	0.24	1.6	3.74	11.5	0.05	0.62	5
15.5	0.645	0.49	4.2	2.92	11.1	0.095	0.74	5
15.5	0.645	0.49	4.2	2.92	11.1	0.095	0.74	5
10.9	0.53	0.49	4.6	3.07	11.7	0.11800000000000001	0.56	6
15.6	0.645	0.49	4.2	2.92	11.1	0.095	0.74	5
10.9	0.53	0.49	4.6	3.07	11.7	0.11800000000000001	0.56	6
13.0	0.47	0.49	4.3	3.3	12.7	0.085	0.68	6
12.7	0.6	0.49	2.8	3.14	11.4	0.075	0.57	5
9.0	0.44	0.49	2.4	3.23	9.2	0.078	0.58	5
9.0	0.54	0.49	2.9	3.08	9.2	0.094	0.61	5
7.6	0.29	0.49	2.7	3.31	10.1	0.092	0.61	6
13.0	0.47	0.49	4.3	3.3	12.7	0.085	0.68	6
12.7	0.6	0.49	2.8	3.14	11.4	0.075	0.57	5
8.7	0.7	0.24	2.5	3.32	9.0	0.226	0.6	6
8.7	0.7	0.24	2.5	3.32	9.0	0.226	0.6	6
9.8	0.5	0.49	2.6	3.31	10.7	0.25	0.79	6
6.2	0.36	0.24	2.2	3.57	11.7	0.095	0.57	6
11.5	0.35	0.49	3.3	3.32	11.0	0.07	0.91	6
6.2	0.36	0.24	2.2	3.57	11.7	0.095	0.57	6
10.2	0.24	0.49	2.4	3.14	10.4	0.075	0.61	5
10.5	0.59	0.49	2.1	3.3	9.6	0.07	0.56	4
10.6	0.34	0.49	3.2	3.19	10.0	0.078	0.7	6
12.3	0.27	0.49	3.1	3.2	10.2	0.079	0.8	6
9.9	0.5	0.24	2.3	3.34	10.0	0.10300000000000001	0.52	4
8.8	0.44	0.49	2.8	3.3	9.5	0.083	0.6	5
8.8	0.47	0.49	2.9	3.29	9.8	0.085	0.6	5
10.6	0.31	0.49	2.2	3.14	9.8	0.063	0.51	6
12.3	0.5	0.49	2.2	3.19	9.6	0.08900000000000001	0.44	5
12.3	0.5	0.49	2.2	3.19	9.6	0.08900000000000001	0.44	5
11.7	0.49	0.49	2.2	3.19	9.2	0.083	0.43	5
12.0	0.28	0.49	1.9	2.98	9.9	0.07400000000000001	0.66	7
11.8	0.33	0.49	3.4	3.3	10.7	0.09300000000000001	0.76	7
7.6	0.51	0.24	2.4	3.47	9.6	0.091	0.66	6
11.1	0.31	0.49	2.7	3.12	10.6	0.094	1.02	7
7.3	0.73	0.24	1.9	3.26	9.3	0.10800000000000001	0.59	5
5.0	0.42	0.24	2.0	3.72	14.0	0.06	0.74	8
10.2	0.29	0.49	2.6	3.05	10.5	0.059000000000000004	0.74	7
9.0	0.45	0.49	2.6	3.35	9.7	0.084	0.57	5
6.6	0.39	0.49	1.7	3.12	11.5	0.07	0.5	6
9.0	0.45	0.49	2.6	3.35	9.7	0.084	0.57	5
9.9	0.49	0.58	3.5	3.29	9.0	0.094	0.58	5
7.9	0.72	0.17	2.6	3.4	9.5	0.096	0.53	5
8.9	0.595	0.41	7.9	3.27	9.3	0.086	0.57	5
12.4	0.4	0.51	2.0	3.04	9.3	0.059000000000000004	0.6	6
11.9	0.58	0.58	1.9	3.09	10.0	0.071	0.63	6
8.5	0.585	0.18	2.1	3.2	9.8	0.078	0.48	6
12.7	0.59	0.45	2.3	3.0	9.3	0.08199999999999999	0.7	6
8.2	0.915	0.27	2.1	3.26	10.0	0.08800000000000001	0.47	4
13.2	0.46	0.52	2.2	3.1	9.0	0.071	0.56	6
7.7	0.835	0.0	2.6	3.3	9.3	0.081	0.52	5
13.2	0.46	0.52	2.2	3.1	9.0	0.071	0.56	6
8.3	0.58	0.13	2.9	3.17	9.1	0.096	0.62	6
8.3	0.6	0.13	2.6	3.31	9.2	0.085	0.59	6
9.4	0.41	0.48	4.6	3.34	12.2	0.07200000000000001	0.79	7
8.8	0.48	0.41	3.3	3.31	10.5	0.092	0.53	6
10.1	0.65	0.37	5.1	3.32	10.4	0.11	0.64	6
6.3	0.36	0.19	3.2	3.56	12.7	0.075	0.52	6
8.8	0.24	0.54	2.5	3.39	9.2	0.083	0.54	5
13.2	0.38	0.55	2.7	2.98	9.4	0.081	0.54	5
7.5	0.64	0.0	2.4	3.32	10.0	0.077	0.6	6
8.2	0.39	0.38	1.5	3.26	9.8	0.057999999999999996	0.74	5
9.2	0.755	0.18	2.2	2.87	10.2	0.14800000000000002	1.36	6
9.6	0.6	0.5	2.3	3.5	9.7	0.079	0.57	5
9.6	0.6	0.5	2.3	3.5	9.7	0.079	0.57	5
11.5	0.31	0.51	2.2	3.03	9.8	0.079	0.93	6
11.4	0.46	0.5	2.7	3.13	10.2	0.122	0.7	5
11.3	0.37	0.41	2.3	3.09	9.3	0.08800000000000001	0.8	5
8.3	0.54	0.24	3.4	3.27	9.4	0.076	0.61	5
8.2	0.56	0.23	3.4	3.28	9.4	0.078	0.62	5
10.0	0.58	0.22	1.9	3.13	9.5	0.08	0.55	5
7.9	0.51	0.25	2.9	3.49	12.1	0.077	0.96	6
6.8	0.69	0.0	5.6	3.46	10.2	0.124	0.72	5
6.8	0.69	0.0	5.6	3.46	10.2	0.124	0.72	5
8.8	0.6	0.29	2.2	3.36	9.1	0.098	0.49	5
8.8	0.6	0.29	2.2	3.36	9.1	0.098	0.49	5
8.7	0.54	0.26	2.5	3.27	9.3	0.09699999999999999	0.6	6
7.6	0.685	0.23	2.3	3.21	9.3	0.111	0.61	5
8.7	0.54	0.26	2.5	3.27	9.3	0.09699999999999999	0.6	6
10.4	0.28	0.54	2.7	3.25	9.5	0.105	0.63	5
7.6	0.41	0.14	3.0	3.32	10.5	0.087	0.57	6
10.1	0.935	0.22	3.4	3.43	11.3	0.105	0.64	4
7.9	0.35	0.21	1.9	3.27	9.5	0.073	0.58	5
8.7	0.84	0.0	1.4	3.27	9.7	0.065	0.55	5
9.6	0.88	0.28	2.4	3.24	9.4	0.086	0.53	5
9.5	0.885	0.27	2.3	3.24	9.4	0.084	0.53	5
7.7	0.915	0.12	2.2	3.35	10.2	0.14300000000000002	0.65	7
8.9	0.29	0.35	1.9	3.18	10.3	0.067	1.36	6
9.9	0.54	0.45	2.3	3.39	9.4	0.071	0.62	5
9.5	0.59	0.44	2.3	3.46	9.5	0.071	0.63	5
9.9	0.54	0.45	2.3	3.39	9.4	0.071	0.62	5
9.5	0.59	0.44	2.3	3.46	9.5	0.071	0.63	5
9.9	0.54	0.45	2.3	3.39	9.4	0.071	0.62	5
7.8	0.64	0.1	6.0	3.37	10.1	0.115	0.69	7
7.3	0.67	0.05	3.6	3.4	10.1	0.107	0.63	5
8.3	0.845	0.01	2.2	3.32	11.0	0.07	0.58	4
8.7	0.48	0.3	2.8	3.33	11.2	0.066	0.67	7
6.7	0.42	0.27	8.6	3.16	11.3	0.068	0.57	6
10.7	0.43	0.39	2.2	2.89	9.6	0.106	0.5	5
9.8	0.88	0.25	2.5	3.41	11.2	0.10400000000000001	0.67	5
15.9	0.36	0.65	7.5	2.98	14.9	0.096	0.84	5
9.4	0.33	0.59	2.8	3.12	12.0	0.079	0.54	6
8.6	0.47	0.47	2.4	3.08	9.5	0.07400000000000001	0.46	5
9.7	0.55	0.17	2.9	3.14	9.4	0.087	0.61	5
10.7	0.43	0.39	2.2	2.89	9.6	0.106	0.5	5
12.0	0.5	0.59	1.4	2.92	10.5	0.073	0.68	7
7.2	0.52	0.07	1.4	3.32	9.6	0.07400000000000001	0.81	6
7.1	0.84	0.02	4.4	3.41	11.0	0.096	0.57	4
7.2	0.52	0.07	1.4	3.32	9.6	0.07400000000000001	0.81	6
7.5	0.42	0.31	1.6	3.31	9.0	0.08	0.64	5
7.2	0.57	0.06	1.6	3.36	9.6	0.076	0.7	6
10.1	0.28	0.46	1.8	3.04	10.2	0.05	0.79	6
12.1	0.4	0.52	2.0	3.03	10.2	0.092	0.66	5
9.4	0.59	0.14	2.0	3.14	9.7	0.084	0.56	5
8.3	0.49	0.36	1.8	3.18	9.5	0.222	0.6	6
11.3	0.34	0.45	2.0	2.94	9.2	0.08199999999999999	0.66	6
10.0	0.73	0.43	2.3	3.15	11.0	0.059000000000000004	0.57	5
11.3	0.34	0.45	2.0	2.94	9.2	0.08199999999999999	0.66	6
6.9	0.4	0.24	2.5	3.26	10.0	0.083	0.58	5
8.2	0.73	0.21	1.7	3.2	9.5	0.07400000000000001	0.52	5
9.8	1.24	0.34	2.0	3.15	9.5	0.079	0.53	5
8.2	0.73	0.21	1.7	3.2	9.5	0.07400000000000001	0.52	5
10.8	0.4	0.41	2.2	3.08	9.3	0.084	0.67	6
9.3	0.41	0.39	2.2	3.26	10.2	0.064	0.65	5
10.8	0.4	0.41	2.2	3.08	9.3	0.084	0.67	6
8.6	0.8	0.11	2.3	3.4	9.9	0.084	0.48	5
8.3	0.78	0.1	2.6	3.48	10.0	0.081	0.53	5
10.8	0.26	0.45	3.3	3.13	9.6	0.06	0.54	5
13.3	0.43	0.58	1.9	3.06	9.0	0.07	0.49	5
8.0	0.45	0.23	2.2	3.21	10.2	0.094	0.49	6
8.5	0.46	0.31	2.25	3.33	9.8	0.078	0.54	5
8.1	0.78	0.23	2.6	3.37	11.3	0.059000000000000004	0.56	5
9.8	0.98	0.32	2.3	3.25	9.4	0.078	0.48	5
8.1	0.78	0.23	2.6	3.37	11.3	0.059000000000000004	0.56	5
7.1	0.65	0.18	1.8	3.44	9.1	0.07	0.6	5
9.1	0.64	0.23	3.1	3.28	9.7	0.095	0.59	5
7.7	0.66	0.04	1.6	3.4	9.4	0.039	0.47	5
8.1	0.38	0.48	1.8	3.3	9.4	0.157	1.05	5
7.4	1.185	0.0	4.25	3.63	10.7	0.09699999999999999	0.54	3
9.2	0.92	0.24	2.6	3.48	9.8	0.087	0.54	5
8.6	0.49	0.51	2.0	3.03	9.0	0.42200000000000004	1.17	5
9.0	0.48	0.32	2.8	3.32	9.4	0.084	0.62	5
9.0	0.47	0.31	2.7	3.31	9.4	0.084	0.61	5
5.1	0.47	0.02	1.3	3.9	12.8	0.034	0.62	6
7.0	0.65	0.02	2.1	3.47	9.5	0.066	0.67	6
7.0	0.65	0.02	2.1	3.47	9.5	0.066	0.67	6
9.4	0.615	0.28	3.2	3.31	9.7	0.087	0.53	5
11.8	0.38	0.55	2.1	3.11	10.8	0.071	0.62	6
10.6	1.02	0.43	2.9	3.08	10.1	0.076	0.57	6
7.0	0.65	0.02	2.1	3.47	9.5	0.066	0.67	6
7.0	0.64	0.02	2.1	3.47	9.4	0.067	0.67	6
7.5	0.38	0.48	2.6	3.32	9.6	0.073	0.7	4
9.1	0.765	0.04	1.6	3.29	9.7	0.078	0.54	4
8.4	1.035	0.15	6.0	3.37	9.9	0.073	0.49	5
7.0	0.78	0.08	2.0	3.4	10.0	0.09300000000000001	0.47	5
7.4	0.49	0.19	3.0	3.37	10.5	0.077	0.51	5
7.8	0.545	0.12	2.5	3.34	11.6	0.068	0.61	6
9.7	0.31	0.47	1.6	3.27	10.0	0.062	0.66	6
10.6	1.025	0.43	2.8	3.06	10.1	0.08	0.57	5
8.9	0.565	0.34	3.0	3.38	9.5	0.09300000000000001	0.61	5
8.7	0.69	0.0	3.2	3.36	9.4	0.084	0.45	5
8.0	0.43	0.36	2.3	3.34	9.4	0.075	0.46	5
9.9	0.74	0.28	2.6	3.28	9.8	0.078	0.51	5
7.2	0.49	0.18	2.7	3.29	9.2	0.069	0.48	6
8.0	0.43	0.36	2.3	3.34	9.4	0.075	0.46	5
7.6	0.46	0.11	2.6	3.21	10.0	0.079	0.57	5
8.4	0.56	0.04	2.0	3.22	9.6	0.08199999999999999	0.44	5
7.1	0.66	0.0	3.9	3.46	9.5	0.086	0.54	5
8.4	0.56	0.04	2.0	3.22	9.6	0.08199999999999999	0.44	5
8.9	0.48	0.24	2.85	3.1	9.2	0.094	0.53	5
7.6	0.42	0.08	2.7	3.21	10.0	0.084	0.59	5
7.1	0.31	0.3	2.2	2.94	9.5	0.053	1.62	5
7.5	1.115	0.1	3.1	3.54	11.2	0.086	0.6	4
9.0	0.66	0.17	3.0	3.29	10.4	0.077	0.55	5
8.1	0.72	0.09	2.8	3.43	11.1	0.084	0.72	6
6.4	0.57	0.02	1.8	3.46	9.5	0.067	0.68	5
6.4	0.57	0.02	1.8	3.46	9.5	0.067	0.68	5
6.4	0.865	0.03	3.2	3.61	12.7	0.071	0.49	6
9.5	0.55	0.66	2.3	3.17	9.6	0.387	0.67	5
8.9	0.875	0.13	3.45	3.44	11.5	0.08800000000000001	0.52	5
7.3	0.835	0.03	2.1	3.39	9.6	0.092	0.47	5
7.0	0.45	0.34	2.7	3.55	9.5	0.08199999999999999	0.6	5
7.7	0.56	0.2	2.0	3.48	9.3	0.075	0.62	5
7.7	0.965	0.1	2.1	3.26	9.5	0.11199999999999999	0.5	5
7.7	0.965	0.1	2.1	3.26	9.5	0.11199999999999999	0.5	5
8.2	0.59	0.0	2.5	3.5	9.3	0.09300000000000001	0.65	6
9.0	0.46	0.23	2.8	3.1	9.2	0.092	0.56	5
9.0	0.69	0.0	2.4	3.35	9.3	0.08800000000000001	0.6	5
8.3	0.76	0.29	4.2	3.45	11.5	0.075	0.68	6
9.2	0.53	0.24	2.6	3.21	9.5	0.078	0.57	5
6.5	0.615	0.0	1.9	3.46	9.2	0.065	0.65	5
11.6	0.41	0.58	2.8	3.13	10.0	0.096	0.53	5
11.1	0.39	0.54	2.7	3.13	9.5	0.095	0.51	5
7.3	0.51	0.18	2.1	3.52	9.5	0.07	0.73	6
8.2	0.34	0.38	2.5	3.3	9.0	0.08	0.47	6
8.6	0.33	0.4	2.6	3.3	9.4	0.083	0.48	5
7.2	0.5	0.18	2.1	3.52	9.6	0.071	0.72	6
7.3	0.51	0.18	2.1	3.52	9.5	0.07	0.73	6
8.3	0.65	0.1	2.9	3.29	9.5	0.08900000000000001	0.55	5
8.3	0.65	0.1	2.9	3.29	9.5	0.08900000000000001	0.55	5
7.6	0.54	0.13	2.5	3.39	9.4	0.09699999999999999	0.61	5
8.3	0.65	0.1	2.9	3.29	9.5	0.08900000000000001	0.55	5
7.8	0.48	0.68	1.7	3.09	9.1	0.415	1.06	6
7.8	0.91	0.07	1.9	3.51	10.7	0.057999999999999996	0.43	6
6.3	0.98	0.01	2.0	3.6	11.2	0.057	0.46	6
8.1	0.87	0.0	2.2	3.25	9.8	0.084	0.5	5
8.1	0.87	0.0	2.2	3.25	9.8	0.084	0.5	5
8.8	0.42	0.21	2.5	3.19	9.2	0.092	0.52	5
9.0	0.58	0.25	2.8	3.23	9.7	0.075	0.57	5
9.3	0.655	0.26	2.0	3.25	9.6	0.096	0.42	5
8.8	0.7	0.0	1.7	3.31	10.0	0.069	0.53	6
9.3	0.655	0.26	2.0	3.25	9.6	0.096	0.42	5
9.1	0.68	0.11	2.8	3.31	9.5	0.09300000000000001	0.55	6
9.2	0.67	0.1	3.0	3.31	9.5	0.091	0.54	6
8.8	0.59	0.18	2.9	3.14	9.4	0.08900000000000001	0.54	5
7.5	0.6	0.32	2.7	3.45	9.5	0.10300000000000001	0.62	5
7.1	0.59	0.02	2.3	3.55	9.7	0.08199999999999999	0.53	6
7.9	0.72	0.01	1.9	3.39	9.6	0.076	0.54	5
7.1	0.59	0.02	2.3	3.55	9.7	0.08199999999999999	0.53	6
9.4	0.685	0.26	2.4	3.28	9.4	0.08199999999999999	0.55	5
9.5	0.57	0.27	2.3	3.27	9.4	0.08199999999999999	0.55	5
7.9	0.4	0.29	1.8	3.3	9.5	0.157	0.92	6
7.9	0.4	0.3	1.8	3.31	9.5	0.157	0.91	6
7.2	1.0	0.0	3.0	3.43	10.0	0.102	0.46	5
6.9	0.765	0.18	2.4	3.4	10.3	0.243	0.6	6
6.9	0.635	0.17	2.4	3.4	10.3	0.24100000000000002	0.59	6
8.3	0.43	0.3	3.4	3.36	10.5	0.079	0.61	5
7.1	0.52	0.03	2.6	3.5	9.8	0.076	0.6	5
7.0	0.57	0.0	2.0	3.31	9.4	0.19	0.6	6
6.5	0.46	0.14	2.4	3.66	9.8	0.114	0.65	5
9.0	0.82	0.05	2.4	3.36	10.0	0.081	0.53	5
6.5	0.46	0.14	2.4	3.66	9.8	0.114	0.65	5
7.1	0.59	0.01	2.5	3.55	9.8	0.077	0.59	5
9.9	0.35	0.41	2.3	3.21	9.5	0.083	0.5	5
9.9	0.35	0.41	2.3	3.21	9.5	0.083	0.5	5
10.0	0.56	0.24	2.2	3.18	10.1	0.079	0.56	6
10.0	0.56	0.24	2.2	3.18	10.1	0.079	0.56	6
8.6	0.63	0.17	2.9	3.09	9.3	0.099	0.52	5
